sssom_subject_id	sssom_subject_category	sssom_predicate_id	sssom_object_id	sssom_object_category	sssom_mapping_justification	sssom_author_id	sssom_author_label	sssom_creator_id	sssom_creator_label	sssom_subject_type	sssom_object_type	sssom_object_source	sssom_mapping_date	sssom_object_match_field	sssom_comment	semapv_RegexRemoval	object_source_version	object_url	subject_url	object_namespace
mids:QualitativeLocation	mids:MIDS2	skos:narrowMatch	abcd2:Biotope	abcd2:Unit	semapv:HumanCuration	orcid:0009-0007-3961-8923|orcid:0000-0002-0829-5849	Stefan Seifert|David Fichtmueller	orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	xpath	/DataSets/DataSet/Units/Unit/Gathering/Biotope	2024-06-26			|unknown:undigitized	http://www.tdwg.org/schemas/abcd/2.06	abcd2:Biotope	https://tdwg.github.io    /mids/information-elements#QualitativeLocation	abcd
mids:QualitativeLocation	mids:MIDS2	skos:narrowMatch	abcd2:Gathering-NamedArea-AreaName	abcd2:Unit	semapv:HumanCuration	orcid:0009-0007-3961-8923|orcid:0000-0002-0829-5849	Stefan Seifert|David Fichtmueller	orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	xpath	/DataSets/DataSet/Units/Unit/Gathering/NamedAreas/NamedArea/AreaName	2024-06-26			|unknown:undigitized	http://www.tdwg.org/schemas/abcd/2.06	abcd2:Gathering-NamedArea-AreaName	https://tdwg.github.io    /mids/information-elements#QualitativeLocation	abcd
mids:QualitativeLocation	mids:MIDS2	skos:narrowMatch	abcd2:Gathering-NearNamedPlace	abcd2:Unit	semapv:HumanCuration	orcid:0009-0007-3961-8923|orcid:0000-0002-0829-5849	Stefan Seifert|David Fichtmueller	orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	xpath	/DataSets/DataSet/Units/Unit/Gathering/AreaDetail	2024-06-26			|unknown:undigitized	http://www.tdwg.org/schemas/abcd/2.06	abcd2:Gathering-NearNamedPlace	https://tdwg.github.io    /mids/information-elements#QualitativeLocation	abcd
mids:QualitativeLocation	mids:MIDS2	skos:narrowMatch	abcd2:Gathering-AreaDetail	abcd2:Unit	semapv:HumanCuration	orcid:0009-0007-3961-8923|orcid:0000-0002-0829-5849	Stefan Seifert|David Fichtmueller	orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	xpath	/DataSets/DataSet/Units/Unit/Gathering/NearNamedPlaces/NamedPlaceRelation/NearNamedPlace	2024-06-26			|unknown:undigitized	http://www.tdwg.org/schemas/abcd/2.06	abcd2:Gathering-AreaDetail	https://tdwg.github.io    /mids/information-elements#QualitativeLocation	abcd
mids:QuantitativeLocation	mids:MIDS2	owl:intersectionOf	abcd2:Gathering-LatitudeDecimal	abcd2:Unit	semapv:HumanCuration	orcid:0009-0007-3961-8923|orcid:0000-0002-0829-5849	Stefan Seifert|David Fichtmueller	orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	xpath	/DataSets/DataSet/Units/Unit/Gathering/SiteCoordinateSets/SiteCoordinates/CoordinatesLatLong/LatitudeDecimal	2024-06-26	abcd2:Gathering-LatitudeDecimal|abcd2:Gathering-LongitudeDecimal	All properties in object_match_field need to be present	|unknown:undigitized	http://www.tdwg.org/schemas/abcd/2.06	abcd2:Gathering-LatitudeDecimal	https://tdwg.github.io    /mids/information-elements#QuantitativeLocation	abcd
mids:QuantitativeLocation	mids:MIDS2	owl:intersectionOf	abcd2:Gathering-LongitudeDecimal	abcd2:Unit	semapv:HumanCuration	orcid:0009-0007-3961-8923|orcid:0000-0002-0829-5849	Stefan Seifert|David Fichtmueller	orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	xpath	/DataSets/DataSet/Units/Unit/Gathering/SiteCoordinateSets/SiteCoordinates/CoordinatesLatLong/LongitudeDecimal	2024-06-26			|unknown:undigitized	http://www.tdwg.org/schemas/abcd/2.06	abcd2:Gathering-LongitudeDecimal	https://tdwg.github.io    /mids/information-elements#QuantitativeLocation	abcd
mids:QuantitativeLocation	mids:MIDS2	skos:narrowMatch	abcd2:Gathering-GML	abcd2:Unit	semapv:HumanCuration	orcid:0009-0007-3961-8923|orcid:0000-0002-0829-5849	Stefan Seifert|David Fichtmueller	orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	xpath	/DataSets/DataSet/Units/Unit/Gathering/GML	2024-06-26			|unknown:undigitized	http://www.tdwg.org/schemas/abcd/2.06	abcd2:Gathering-GML	https://tdwg.github.io    /mids/information-elements#QuantitativeLocation	abcd
mids:QuantitativeLocation	mids:MIDS2	skos:narrowMatch	abcd2:Gathering-WFS	abcd2:Unit	semapv:HumanCuration	orcid:0009-0007-3961-8923|orcid:0000-0002-0829-5849	Stefan Seifert|David Fichtmueller	orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	xpath	/DataSets/DataSet/Units/Unit/Gathering/WFS	2024-06-26		WMS URL with center coordinate given	|unknown:undigitized	http://www.tdwg.org/schemas/abcd/2.06	abcd2:Gathering-WFS	https://tdwg.github.io    /mids/information-elements#QuantitativeLocation	abcd
mids:QuantitativeLocation	mids:MIDS2	skos:narrowMatch	abcd2:Gathering-WMSURL	abcd2:Unit	semapv:HumanCuration	orcid:0009-0007-3961-8923|orcid:0000-0002-0829-5849	Stefan Seifert|David Fichtmueller	orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	xpath	/DataSets/DataSet/Units/Unit/Gathering/WMSURL	2024-06-26			|unknown:undigitized	http://www.tdwg.org/schemas/abcd/2.06	abcd2:Gathering-WMSURL	https://tdwg.github.io    /mids/information-elements#QuantitativeLocation	abcd
mids:CollectingAgent	mids:MIDS2	skos:narrowMatch	abcd2:Gathering-AgentText	abcd2:Unit	semapv:HumanCuration	orcid:0009-0007-3961-8923|orcid:0000-0002-0829-5849	Stefan Seifert|David Fichtmueller	orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	xpath	/DataSets/DataSet/Units/Unit/Gathering/Agents/GatheringAgent/AgentText	2024-06-26			|unknown:undigitized	http://www.tdwg.org/schemas/abcd/2.06	abcd2:Gathering-AgentText	https://tdwg.github.io    /mids/information-elements#CollectingAgent	abcd
mids:CollectingAgent	mids:MIDS2	skos:narrowMatch	abcd2:GatheringAgent-FullName	abcd2:Unit	semapv:HumanCuration	orcid:0009-0007-3961-8923|orcid:0000-0002-0829-5849	Stefan Seifert|David Fichtmueller	orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	xpath	/DataSets/DataSet/Units/Unit/Gathering/Agents/GatheringAgent/Person/FullName	2024-06-26			|unknown:undigitized	http://www.tdwg.org/schemas/abcd/2.06	abcd2:GatheringAgent-FullName	https://tdwg.github.io    /mids/information-elements#CollectingAgent	abcd
mids:CollectingAgent	mids:MIDS2	skos:narrowMatch	abcd2:GatheringAgent-InheritedName	abcd2:Unit	semapv:HumanCuration	orcid:0009-0007-3961-8923|orcid:0000-0002-0829-5849	Stefan Seifert|David Fichtmueller	orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	xpath	/DataSets/DataSet/Units/Unit/Gathering/Agents/GatheringAgent/Person/AtomisedName/InheritedName	2024-06-26			|unknown:undigitized	http://www.tdwg.org/schemas/abcd/2.06	abcd2:GatheringAgent-InheritedName	https://tdwg.github.io    /mids/information-elements#CollectingAgent	abcd
mids:CollectingAgent	mids:MIDS2	skos:narrowMatch	abcd2:GatheringAgentsText	abcd2:Unit	semapv:HumanCuration	orcid:0009-0007-3961-8923|orcid:0000-0002-0829-5849	Stefan Seifert|David Fichtmueller	orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	xpath	/DataSets/DataSet/Units/Unit/Gathering/Agents/GatheringAgentsText	2024-06-26			|unknown:undigitized	http://www.tdwg.org/schemas/abcd/2.06	abcd2:GatheringAgentsText	https://tdwg.github.io    /mids/information-elements#CollectingAgent	abcd
