	mapping_number	sssom_subject_id	sssom_subject_category	sssom_predicate_id	sssom_object_id	sssom_object_category	sssom_mapping_justification	sssom_author_id	sssom_author_label	sssom_creator_id	sssom_creator_label	sssom_subject_type	sssom_object_type	sssom_object_source	sssom_mapping_date	sssom_object_match_field	sssom_comment	semapv_RegexRemoval	object_source_version	object_url	subject_url	object_namespace	sssom_reviewer_id	sssom_reviewer_label	discipline	sssom_subject_label	sssom_object_label	term_local_name
10	11	mids:License	mids:MIDS1	skos:narrowMatch	abcd2:Unit-License-URI	abcd2:Unit	semapv:HumanCuration	orcid:0000-0002-0829-5849	David Fichtmueller	orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	xpath	/DataSets/DataSet/Units/Unit/IPRStatements/Licenses/License/URI	2024-06-26			|unknown:undigitized	http://www.tdwg.org/schemas/abcd/2.06	abcd2:Unit-License-URI	https://tdwg.github.io    /mids/information-elements#License	abcd			Biology			License
11	12	mids:License	mids:MIDS1	skos:narrowMatch	abcd2:DataSet-License-Text	abcd2:DataSet	semapv:HumanCuration	orcid:0000-0002-0829-5849	David Fichtmueller	orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	xpath	/DataSets/DataSet/Metadata/IPRStatements/Licenses/License/Text	2024-06-26			|unknown:undigitized	http://www.tdwg.org/schemas/abcd/2.06	abcd2:DataSet-License-Text	https://tdwg.github.io    /mids/information-elements#License	abcd			Biology			License
12	13	mids:License	mids:MIDS1	skos:narrowMatch	abcd2:DataSet-License-URI	abcd2:DataSet	semapv:HumanCuration	orcid:0000-0002-0829-5849	David Fichtmueller	orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	xpath	/DataSets/DataSet/Metadata/IPRStatements/Licenses/License/URI	2024-06-26			|unknown:undigitized	http://www.tdwg.org/schemas/abcd/2.06	abcd2:DataSet-License-URI	https://tdwg.github.io    /mids/information-elements#License	abcd			Biology			License
13	14	mids:Modified	mids:MIDS1	skos:narrowMatch	abcd2:DataSet-DateModified	abcd2:DataSet	semapv:HumanCuration	orcid:0000-0002-0829-5849	David Fichtmueller	orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	xpath	/DataSets/DataSet/Metadata/RevisionData/DateModified	2024-06-24			|unknown:undigitized	http://www.tdwg.org/schemas/abcd/2.06	abcd2:DataSet-DateModified	https://tdwg.github.io    /mids/information-elements#Modified	abcd			Biology			Modified
14	15	mids:Modified	mids:MIDS1	skos:narrowMatch	abcd2:Unit-DateLastEdited	abcd2:Unit	semapv:HumanCuration	orcid:0000-0002-0829-5849	David Fichtmueller	orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	xpath	/DataSets/DataSet/Units/Unit/DateLastEdited	2024-06-24		alternative modified date on record level	|unknown:undigitized	http://www.tdwg.org/schemas/abcd/2.06	abcd2:Unit-DateLastEdited	https://tdwg.github.io    /mids/information-elements#Modified	abcd			Biology			Modified
15	16	mids:QualitativeLocation	mids:MIDS2	skos:narrowMatch	abcd2:Gathering-LocalityText	abcd2:Unit	semapv:HumanCuration	orcid:0009-0007-3961-8923|orcid:0000-0002-0829-5849	Stefan Seifert|David Fichtmueller	orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	xpath	/DataSets/DataSet/Units/Unit/Gathering/LocalityText	2024-06-26			|unknown:undigitized	http://www.tdwg.org/schemas/abcd/2.06	abcd2:Gathering-LocalityText	https://tdwg.github.io    /mids/information-elements#QualitativeLocation	abcd			Biology			QualitativeLocation
16	17	mids:QualitativeLocation	mids:MIDS2	skos:narrowMatch	abcd2:Gathering-Country	abcd2:Unit	semapv:HumanCuration	orcid:0009-0007-3961-8923|orcid:0000-0002-0829-5849	Stefan Seifert|David Fichtmueller	orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	xpath	/DataSets/DataSet/Units/Unit/Gathering/Country	2024-06-26			|unknown:undigitized	http://www.tdwg.org/schemas/abcd/2.06	abcd2:Gathering-Country	https://tdwg.github.io    /mids/information-elements#QualitativeLocation	abcd			Biology			QualitativeLocation
17	18	mids:QualitativeLocation	mids:MIDS2	skos:narrowMatch	abcd2:Biotope	abcd2:Unit	semapv:HumanCuration	orcid:0009-0007-3961-8923|orcid:0000-0002-0829-5849	Stefan Seifert|David Fichtmueller	orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	xpath	/DataSets/DataSet/Units/Unit/Gathering/Biotope	2024-06-26			|unknown:undigitized	http://www.tdwg.org/schemas/abcd/2.06	abcd2:Biotope	https://tdwg.github.io    /mids/information-elements#QualitativeLocation	abcd			Biology			QualitativeLocation
18	19	mids:QualitativeLocation	mids:MIDS2	skos:narrowMatch	abcd2:Gathering-NamedArea-AreaName	abcd2:Unit	semapv:HumanCuration	orcid:0009-0007-3961-8923|orcid:0000-0002-0829-5849	Stefan Seifert|David Fichtmueller	orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	xpath	/DataSets/DataSet/Units/Unit/Gathering/NamedAreas/NamedArea/AreaName	2024-06-26			|unknown:undigitized	http://www.tdwg.org/schemas/abcd/2.06	abcd2:Gathering-NamedArea-AreaName	https://tdwg.github.io    /mids/information-elements#QualitativeLocation	abcd			Biology			QualitativeLocation
19	20	mids:QualitativeLocation	mids:MIDS2	skos:narrowMatch	abcd2:Gathering-NearNamedPlace	abcd2:Unit	semapv:HumanCuration	orcid:0009-0007-3961-8923|orcid:0000-0002-0829-5849	Stefan Seifert|David Fichtmueller	orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	xpath	/DataSets/DataSet/Units/Unit/Gathering/AreaDetail	2024-06-26			|unknown:undigitized	http://www.tdwg.org/schemas/abcd/2.06	abcd2:Gathering-NearNamedPlace	https://tdwg.github.io    /mids/information-elements#QualitativeLocation	abcd			Biology			QualitativeLocation
20	21	mids:QualitativeLocation	mids:MIDS2	skos:narrowMatch	abcd2:Gathering-AreaDetail	abcd2:Unit	semapv:HumanCuration	orcid:0009-0007-3961-8923|orcid:0000-0002-0829-5849	Stefan Seifert|David Fichtmueller	orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	xpath	/DataSets/DataSet/Units/Unit/Gathering/NearNamedPlaces/NamedPlaceRelation/NearNamedPlace	2024-06-26			|unknown:undigitized	http://www.tdwg.org/schemas/abcd/2.06	abcd2:Gathering-AreaDetail	https://tdwg.github.io    /mids/information-elements#QualitativeLocation	abcd			Biology			QualitativeLocation
21	22	mids:QuantitativeLocation	mids:MIDS2	owl:intersectionOf	abcd2:Gathering-LatitudeDecimal	abcd2:Unit	semapv:HumanCuration	orcid:0009-0007-3961-8923|orcid:0000-0002-0829-5849	Stefan Seifert|David Fichtmueller	orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	xpath	/DataSets/DataSet/Units/Unit/Gathering/SiteCoordinateSets/SiteCoordinates/CoordinatesLatLong/LatitudeDecimal	2024-06-26	abcd2:Gathering-LatitudeDecimal|abcd2:Gathering-LongitudeDecimal	All properties in object_match_field need to be present	|unknown:undigitized	http://www.tdwg.org/schemas/abcd/2.06	abcd2:Gathering-LatitudeDecimal	https://tdwg.github.io    /mids/information-elements#QuantitativeLocation	abcd			Biology			QuantitativeLocation
22	23	mids:QuantitativeLocation	mids:MIDS2	owl:intersectionOf	abcd2:Gathering-LongitudeDecimal	abcd2:Unit	semapv:HumanCuration	orcid:0009-0007-3961-8923|orcid:0000-0002-0829-5849	Stefan Seifert|David Fichtmueller	orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	xpath	/DataSets/DataSet/Units/Unit/Gathering/SiteCoordinateSets/SiteCoordinates/CoordinatesLatLong/LongitudeDecimal	2024-06-26			|unknown:undigitized	http://www.tdwg.org/schemas/abcd/2.06	abcd2:Gathering-LongitudeDecimal	https://tdwg.github.io    /mids/information-elements#QuantitativeLocation	abcd			Biology			QuantitativeLocation
23	24	mids:QuantitativeLocation	mids:MIDS2	skos:narrowMatch	abcd2:Gathering-GML	abcd2:Unit	semapv:HumanCuration	orcid:0009-0007-3961-8923|orcid:0000-0002-0829-5849	Stefan Seifert|David Fichtmueller	orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	xpath	/DataSets/DataSet/Units/Unit/Gathering/GML	2024-06-26			|unknown:undigitized	http://www.tdwg.org/schemas/abcd/2.06	abcd2:Gathering-GML	https://tdwg.github.io    /mids/information-elements#QuantitativeLocation	abcd			Biology			QuantitativeLocation
24	25	mids:QuantitativeLocation	mids:MIDS2	skos:narrowMatch	abcd2:Gathering-WFS	abcd2:Unit	semapv:HumanCuration	orcid:0009-0007-3961-8923|orcid:0000-0002-0829-5849	Stefan Seifert|David Fichtmueller	orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	xpath	/DataSets/DataSet/Units/Unit/Gathering/WFS	2024-06-26		WMS URL with center coordinate given	|unknown:undigitized	http://www.tdwg.org/schemas/abcd/2.06	abcd2:Gathering-WFS	https://tdwg.github.io    /mids/information-elements#QuantitativeLocation	abcd			Biology			QuantitativeLocation
25	26	mids:QuantitativeLocation	mids:MIDS2	skos:narrowMatch	abcd2:Gathering-WMSURL	abcd2:Unit	semapv:HumanCuration	orcid:0009-0007-3961-8923|orcid:0000-0002-0829-5849	Stefan Seifert|David Fichtmueller	orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	xpath	/DataSets/DataSet/Units/Unit/Gathering/WMSURL	2024-06-26			|unknown:undigitized	http://www.tdwg.org/schemas/abcd/2.06	abcd2:Gathering-WMSURL	https://tdwg.github.io    /mids/information-elements#QuantitativeLocation	abcd			Biology			QuantitativeLocation
26	27	mids:CollectingAgent	mids:MIDS2	skos:narrowMatch	abcd2:Gathering-AgentText	abcd2:Unit	semapv:HumanCuration	orcid:0009-0007-3961-8923|orcid:0000-0002-0829-5849	Stefan Seifert|David Fichtmueller	orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	xpath	/DataSets/DataSet/Units/Unit/Gathering/Agents/GatheringAgent/AgentText	2024-06-26			|unknown:undigitized	http://www.tdwg.org/schemas/abcd/2.06	abcd2:Gathering-AgentText	https://tdwg.github.io    /mids/information-elements#CollectingAgent	abcd			Biology			CollectingAgent
27	28	mids:CollectingAgent	mids:MIDS2	skos:narrowMatch	abcd2:GatheringAgent-FullName	abcd2:Unit	semapv:HumanCuration	orcid:0009-0007-3961-8923|orcid:0000-0002-0829-5849	Stefan Seifert|David Fichtmueller	orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	xpath	/DataSets/DataSet/Units/Unit/Gathering/Agents/GatheringAgent/Person/FullName	2024-06-26			|unknown:undigitized	http://www.tdwg.org/schemas/abcd/2.06	abcd2:GatheringAgent-FullName	https://tdwg.github.io    /mids/information-elements#CollectingAgent	abcd			Biology			CollectingAgent
28	29	mids:CollectingAgent	mids:MIDS2	skos:narrowMatch	abcd2:GatheringAgent-InheritedName	abcd2:Unit	semapv:HumanCuration	orcid:0009-0007-3961-8923|orcid:0000-0002-0829-5849	Stefan Seifert|David Fichtmueller	orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	xpath	/DataSets/DataSet/Units/Unit/Gathering/Agents/GatheringAgent/Person/AtomisedName/InheritedName	2024-06-26			|unknown:undigitized	http://www.tdwg.org/schemas/abcd/2.06	abcd2:GatheringAgent-InheritedName	https://tdwg.github.io    /mids/information-elements#CollectingAgent	abcd			Biology			CollectingAgent
29	30	mids:CollectingAgent	mids:MIDS2	skos:narrowMatch	abcd2:GatheringAgentsText	abcd2:Unit	semapv:HumanCuration	orcid:0009-0007-3961-8923|orcid:0000-0002-0829-5849	Stefan Seifert|David Fichtmueller	orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	xpath	/DataSets/DataSet/Units/Unit/Gathering/Agents/GatheringAgentsText	2024-06-26			|unknown:undigitized	http://www.tdwg.org/schemas/abcd/2.06	abcd2:GatheringAgentsText	https://tdwg.github.io    /mids/information-elements#CollectingAgent	abcd			Biology			CollectingAgent
30	31	mids:DateCollected	mids:MIDS2	skos:narrowMatch	abcd2:Gathering-DateTime-ISODateTimeBegin	abcd2:Unit	semapv:HumanCuration	orcid:0009-0007-3961-8923|orcid:0000-0002-0829-5849	Stefan Seifert|David Fichtmueller	orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	xpath	/DataSets/DataSet/Units/Unit/Gathering/DateTime/ISODateTimeBegin	2024-06-26			|unknown:undigitized	http://www.tdwg.org/schemas/abcd/2.06	abcd2:Gathering-DateTime-ISODateTimeBegin	https://tdwg.github.io    /mids/information-elements#DateCollected	abcd			Biology			DateCollected
31	32	mids:DateCollected	mids:MIDS2	skos:narrowMatch	abcd2:Gathering-DateTime-DateText	abcd2:Unit	semapv:HumanCuration	orcid:0009-0007-3961-8923|orcid:0000-0002-0829-5849	Stefan Seifert|David Fichtmueller	orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	xpath	/DataSets/DataSet/Units/Unit/Gathering/DateTime/DateText	2024-06-26			|unknown:undigitized	http://www.tdwg.org/schemas/abcd/2.06	abcd2:Gathering-DateTime-DateText	https://tdwg.github.io    /mids/information-elements#DateCollected	abcd			Biology			DateCollected
32	33	mids:CollectingNumber	mids:MIDS2	skos:exactMatch	abcd2:CollectorsFieldNumber	abcd2:Unit	semapv:HumanCuration	orcid:0009-0007-3961-8923|orcid:0000-0002-0829-5849	Stefan Seifert|David Fichtmueller	orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	xpath	/DataSets/DataSet/Units/Unit/CollectorsFieldNumber	2024-06-26			|unknown:undigitized	http://www.tdwg.org/schemas/abcd/2.06	abcd2:CollectorsFieldNumber	https://tdwg.github.io    /mids/information-elements#CollectingNumber	abcd			Biology			CollectingNumber
33	34	mids:Media	mids:MIDS2	skos:narrowMatch	abcd2:MultiMediaObject-FileURI	abcd2:Unit	semapv:HumanCuration	orcid:0009-0007-3961-8923|orcid:0000-0002-0829-5849	Stefan Seifert|David Fichtmueller	orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	xpath	/DataSets/DataSet/Units/Unit/MultiMediaObjects/MultiMediaObject/FileURI	2024-06-26			|unknown:undigitized	http://www.tdwg.org/schemas/abcd/2.06	abcd2:MultiMediaObject-FileURI	https://tdwg.github.io    /mids/information-elements#Media	abcd			Biology			Media
34	35	mids:Media	mids:MIDS2	skos:narrowMatch	abcd2:MultiMediaObject-ID	abcd2:Unit	semapv:HumanCuration	orcid:0009-0007-3961-8923|orcid:0000-0002-0829-5849	Stefan Seifert|David Fichtmueller	orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	xpath	/DataSets/DataSet/Units/Unit/MultiMediaObjects/MultiMediaObject/ID	2024-06-26			|unknown:undigitized	http://www.tdwg.org/schemas/abcd/2.06	abcd2:MultiMediaObject-ID	https://tdwg.github.io    /mids/information-elements#Media	abcd			Biology			Media
35	36	mids:MediaID	mids:MIDS3	skos:narrowMatch	abcd2:Gathering-SiteImage-FileURI	abcd2:Unit	semapv:HumanCuration	orcid:0000-0002-0829-5849	David Fichtmueller	orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	xpath	/DataSets/DataSet/Units/Unit/Gathering/SiteImages/SiteImage/FileURI	2024-06-26			|unknown:undigitized	http://www.tdwg.org/schemas/abcd/2.06	abcd2:Gathering-SiteImage-FileURI	https://tdwg.github.io    /mids/information-elements#MediaID	abcd			Biology			MediaID
36	37	mids:MediaID	mids:MIDS3	skos:narrowMatch	abcd2:Gathering-SiteImage-FileID	abcd2:Unit	semapv:HumanCuration	orcid:0000-0002-0829-5849	David Fichtmueller	orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	xpath	/DataSets/DataSet/Units/Unit/Gathering/SiteImages/SiteImage/FileID	2024-06-26			|unknown:undigitized	http://www.tdwg.org/schemas/abcd/2.06	abcd2:Gathering-SiteImage-FileID	https://tdwg.github.io    /mids/information-elements#MediaID	abcd			Biology			MediaID
37	38	mids:PhysicalSpecimenID	mids:MIDS0	skos:narrowMatch	dwc:materialSampleID	dwc:Occurrence	semapv:HumanCuration	orcid:0000-0002-3973-1252|orcid:0000-0002-5669-2769	Mathias Dillen|Sam Leeflang	orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	rdf property		2023-09			|unknown:undigitized	http://rs.tdwg.org/dwc/terms	http://rs.tdwg.org/dwc/terms/materialSampleID	https://tdwg.github.io    /mids/information-elements#PhysicalSpecimenID	dwc			Biology	Physical Specimen ID	Material Sample ID	PhysicalSpecimenID
38	39	mids:PhysicalSpecimenID	mids:MIDS0	skos:narrowMatch	dwc:catalogNumber	dwc:Occurrence	semapv:HumanCuration	orcid:0000-0002-3973-1252	Mathias Dillen	orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	rdf property		2023-09			|unknown:undigitized	http://rs.tdwg.org/dwc/terms	http://rs.tdwg.org/dwc/terms/catalogNumber	https://tdwg.github.io    /mids/information-elements#PhysicalSpecimenID	dwc			Biology	Physical Specimen ID	Catalog Number	PhysicalSpecimenID
39	40	mids:PhysicalSpecimenID	mids:MIDS0	skos:narrowMatch	dwc:otherCatalogNumbers	dwc:Occurrence	semapv:HumanCuration	orcid:0000-0002-3973-1252	Mathias Dillen	orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	rdf property		2023-09			|unknown:undigitized	http://rs.tdwg.org/dwc/terms	http://rs.tdwg.org/dwc/terms/otherCatalogNumbers	https://tdwg.github.io    /mids/information-elements#PhysicalSpecimenID	dwc			Biology	Physical Specimen ID	Other Catalog Numbers	PhysicalSpecimenID
40	41	mids:PhysicalSpecimenID	mids:MIDS0	skos:narrowMatch	dwc:occurrenceID	dwc:Occurrence	semapv:HumanCuration	orcid:0000-0002-5669-2769	Sam Leeflang	orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	rdf property		2023-09			|unknown:undigitized	http://rs.tdwg.org/dwc/terms	http://rs.tdwg.org/dwc/terms/occurrenceID	https://tdwg.github.io    /mids/information-elements#PhysicalSpecimenID	dwc			Biology	Physical Specimen ID	Occurrence ID	PhysicalSpecimenID
41	42	mids:PhysicalSpecimenID	mids:MIDS0	skos:narrowMatch	dwc:materialEntityID	dwc:Occurrence	semapv:HumanCuration	orcid:0000-0002-3090-1761	Wouter Addink	orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	rdf property		2023-09			|unknown:undigitized	http://rs.tdwg.org/dwc/terms	http://rs.tdwg.org/dwc/terms/materialEntityID	https://tdwg.github.io    /mids/information-elements#PhysicalSpecimenID	dwc			Biology	Physical Specimen ID	Material Entity ID	PhysicalSpecimenID
42	43	mids:Organization	mids:MIDS0	skos:narrowMatch	dwc:ownerInstitutionCode	dwc:Occurrence	semapv:HumanCuration	orcid:0000-0002-3973-1252	Mathias Dillen	orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	rdf property		2023-09			|unknown:undigitized	http://rs.tdwg.org/dwc/terms	http://rs.tdwg.org/dwc/terms/ownerInstitutionCode	https://tdwg.github.io    /mids/information-elements#Organization	dwc			Biology	Organization	Owner Institution Code	Organization
43	44	mids:Organization	mids:MIDS0	skos:narrowMatch	dwc:institutionID	dwc:Occurrence	semapv:HumanCuration	orcid:0000-0002-3973-1252|orcid:0000-0002-5669-2769	Mathias Dillen|Sam Leeflang	orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	rdf property		2023-09			|unknown:undigitized	http://rs.tdwg.org/dwc/terms	http://rs.tdwg.org/dwc/terms/institutionID	https://tdwg.github.io    /mids/information-elements#Organization	dwc			Biology	Organization	Institution ID	Organization
44	45	mids:Organization	mids:MIDS0	skos:narrowMatch	dwc:institutionCode	dwc:Occurrence	semapv:HumanCuration	orcid:0000-0002-3973-1252|orcid:0000-0002-5669-2769	Mathias Dillen|Sam Leeflang	orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	rdf property		2023-09			|unknown:undigitized	http://rs.tdwg.org/dwc/terms	http://rs.tdwg.org/dwc/terms/institutionCode	https://tdwg.github.io    /mids/information-elements#Organization	dwc			Biology	Organization	Institution Code	Organization
45	46	mids:Name	mids:MIDS1	skos:narrowMatch	dwc:scientificName	dwc:Occurrence	semapv:HumanCuration	orcid:0000-0002-3973-1252	Mathias Dillen	orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	rdf property		2023-09			|unknown:undigitized|incertae sedis	http://rs.tdwg.org/dwc/terms	http://rs.tdwg.org/dwc/terms/scientificName	https://tdwg.github.io    /mids/information-elements#Name	dwc			Biology	Name	Scientific Name	Name
46	47	mids:Name	mids:MIDS1	skos:narrowMatch	dwc:vernacularName	dwc:Occurrence	semapv:HumanCuration	orcid:0000-0002-3973-1252	Mathias Dillen	orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	rdf property		2023-09			|unknown:undigitized	http://rs.tdwg.org/dwc/terms	http://rs.tdwg.org/dwc/terms/vernacularName	https://tdwg.github.io    /mids/information-elements#Name	dwc			Biology	Name	Vernacular Name	Name
47	48	mids:Name	mids:MIDS1	skos:narrowMatch	dwc:scientificNameID	dwc:Occurrence	semapv:HumanCuration	orcid:0000-0002-5669-2769	Sam Leeflang	orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	rdf property		2023-09			|unknown:undigitized|0	http://rs.tdwg.org/dwc/terms	http://rs.tdwg.org/dwc/terms/scientificNameID	https://tdwg.github.io    /mids/information-elements#Name	dwc			Biology	Name	Scientific Name ID	Name
48	49	mids:Name	mids:MIDS1	skos:narrowMatch	gbif:taxonKey	dwc:Occurrence	semapv:HumanCuration	orcid:0000-0002-3973-1252	Mathias Dillen	orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	rdf property		2024-06-26			|unknown:undigitized|0	http://rs.tdwg.org/dwc/terms	gbif:taxonKey	https://tdwg.github.io    /mids/information-elements#Name	dwc			Biology	Name	Taxon Key	Name
49	50	mids:Name	mids:MIDS1	skos:narrowMatch	dwc:organismName	dwc:Occurrence	semapv:HumanCuration	orcid:0000-0002-5669-2769	Sam Leeflang	orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	rdf property		2023-09			|unknown:undigitized	http://rs.tdwg.org/dwc/terms	http://rs.tdwg.org/dwc/terms/organismName	https://tdwg.github.io    /mids/information-elements#Name	dwc			Biology	Name	Organism Name	Name
