sssom_subject_id	sssom_subject_label	sssom_subject_category	sssom_predicate_id	sssom_object_id	sssom_object_label	sssom_object_category	sssom_mapping_justification	sssom_author_id	sssom_author_label	sssom_reviewer_id	sssom_reviewer_label	sssom_creator_id	sssom_creator_label	sssom_subject_type	sssom_object_type	sssom_mapping_date	sssom_object_match_field	sssom_comment	semapv_RegexRemoval	object_source_version	object_url	subject_url	object_namespace
mids:QualitativeLocation	Qualitative Location	mids:MIDS2	skos:narrowMatch	dwc:higherGeography	Higher Geography	dwc:Occurrence	semapv:HumanCuration	orcid:0000-0001-9144-2848	Elspeth Haston			https://orcid.org/0000-0002-3973-1279	Mathias Dillen	rdf property	rdf property	2023-09			|unknown:undigitized	http://rs.tdwg.org/dwc/terms	http://rs.tdwg.org/dwc/terms/higherGeography	https://tdwg.github.io    /mids/information-elements#QualitativeLocation	dwc
mids:QuantitativeLocation	Quantitative Location	mids:MIDS2	skos:narrowMatch	dwc:locationID	Location ID	dwc:Occurrence	semapv:HumanCuration	orcid:0000-0002-3973-1257	Mathias Dillen			https://orcid.org/0000-0002-3973-1274	Mathias Dillen	rdf property	rdf property	2023-09			|unknown:undigitized	http://rs.tdwg.org/dwc/terms	http://rs.tdwg.org/dwc/terms/locationID	https://tdwg.github.io    /mids/information-elements#QuantitativeLocation	dwc
mids:QuantitativeLocation	Quantitative Location	mids:MIDS2	owl:intersectionOf	dwc:decimalLatitude	Decimal Latitude	dwc:Occurrence	semapv:HumanCuration	orcid:0000-0002-3973-1257	Mathias Dillen			https://orcid.org/0000-0002-3973-1275	Mathias Dillen	rdf property	rdf property	2023-09			|unknown:undigitized	http://rs.tdwg.org/dwc/terms	http://rs.tdwg.org/dwc/terms/decimalLatitude	https://tdwg.github.io    /mids/information-elements#QuantitativeLocation	dwc
mids:QuantitativeLocation	Quantitative Location	mids:MIDS2	owl:intersectionOf	dwc:decimalLongitude	Decimal Longitude	dwc:Occurrence	semapv:HumanCuration	orcid:0000-0002-3973-1257	Mathias Dillen			https://orcid.org/0000-0002-3973-1276	Mathias Dillen	rdf property	rdf property	2023-09	dwc:decimalLatitude|dwc:decimalLongitude	All properties in object_match_field need to be present	|unknown:undigitized	http://rs.tdwg.org/dwc/terms	http://rs.tdwg.org/dwc/terms/decimalLongitude	https://tdwg.github.io    /mids/information-elements#QuantitativeLocation	dwc
mids:QuantitativeLocation	Quantitative Location	mids:MIDS2	skos:narrowMatch	dwc:footprintWKT	Footprint WKT	dwc:Occurrence	semapv:HumanCuration	orcid:0000-0002-3973-1257	Mathias Dillen			https://orcid.org/0000-0002-3973-1280	Mathias Dillen	rdf property	rdf property	2023-09			|unknown:undigitized	http://rs.tdwg.org/dwc/terms	http://rs.tdwg.org/dwc/terms/footprintWKT	https://tdwg.github.io    /mids/information-elements#QuantitativeLocation	dwc
mids:StratigraphicContext	Stratigraphic Context	mids:MIDS2	skos:narrowMatch	dwc:bed	Bed	dwc:Occurrence	semapv:HumanCuration	orcid:0000-0002-5819-9134	Ben Norton			https://orcid.org/0000-0002-5669-2769	Sam Leeflang	rdf property	rdf property	2026-01-08			|unknown:undigitized	http://rs.tdwg.org/dwc/terms	http://rs.tdwg.org/dwc/terms/bed	https://tdwg.github.io    /mids/information-elements#StratigraphicContext	dwc
mids:StratigraphicContext	Stratigraphic Context	mids:MIDS2	skos:narrowMatch	dwc:formation	Formation	dwc:Occurrence	semapv:HumanCuration	orcid:0000-0002-5819-9134	Ben Norton			https://orcid.org/0000-0002-5669-2769	Sam Leeflang	rdf property	rdf property	2026-01-08			|unknown:undigitized	http://rs.tdwg.org/dwc/terms	http://rs.tdwg.org/dwc/terms/formation	https://tdwg.github.io    /mids/information-elements#StratigraphicContext	dwc
mids:StratigraphicContext	Stratigraphic Context	mids:MIDS2	skos:narrowMatch	dwc:group	Group	dwc:Occurrence	semapv:HumanCuration	orcid:0000-0002-5819-9134	Ben Norton			https://orcid.org/0000-0002-5669-2769	Sam Leeflang	rdf property	rdf property	2026-01-08			|unknown:undigitized	http://rs.tdwg.org/dwc/terms	http://rs.tdwg.org/dwc/terms/group	https://tdwg.github.io    /mids/information-elements#StratigraphicContext	dwc
mids:StratigraphicContext	Stratigraphic Context	mids:MIDS2	skos:narrowMatch	dwc:member	Member	dwc:Occurrence	semapv:HumanCuration	orcid:0000-0002-5819-9134	Ben Norton			https://orcid.org/0000-0002-5669-2769	Sam Leeflang	rdf property	rdf property	2026-01-08			|unknown:undigitized	http://rs.tdwg.org/dwc/terms	http://rs.tdwg.org/dwc/terms/member	https://tdwg.github.io    /mids/information-elements#StratigraphicContext	dwc
mids:StratigraphicContext	Stratigraphic Context	mids:MIDS2	skos:narrowMatch	dwc:highestBiostratigraphicZone	Highest Biostratigraphic Zone	dwc:Occurrence	semapv:HumanCuration	orcid:0000-0002-5819-9134	Ben Norton			https://orcid.org/0000-0002-5669-2769	Sam Leeflang	rdf property	rdf property	2026-01-08			|unknown:undigitized	http://rs.tdwg.org/dwc/terms	http://rs.tdwg.org/dwc/terms/highestBiostratigraphicZone	https://tdwg.github.io    /mids/information-elements#StratigraphicContext	dwc
mids:StratigraphicContext	Stratigraphic Context	mids:MIDS2	skos:narrowMatch	dwc:lowestBiostratigraphicZone	Lowest Biostratigraphic Zone	dwc:Occurrence	semapv:HumanCuration	orcid:0000-0002-5819-9134	Ben Norton			https://orcid.org/0000-0002-5669-2769	Sam Leeflang	rdf property	rdf property	2026-01-08			|unknown:undigitized	http://rs.tdwg.org/dwc/terms	http://rs.tdwg.org/dwc/terms/lowestBiostratigraphicZone	https://tdwg.github.io    /mids/information-elements#StratigraphicContext	dwc
mids:StratigraphicContext	Stratigraphic Context	mids:MIDS2	skos:narrowMatch	dwc:lithostratigraphicTerms	Lithostratigraphic Terms	dwc:Occurrence	semapv:HumanCuration	hhttps://orcid.org/0000-0002-5819-9134	Ben Norton			hhttps://orcid.org/0000-0002-5819-9134	Ben Norton	rdf property	rdf property	2023-09-18			|unknown:undigitized	http://rs.tdwg.org/dwc/terms	http://rs.tdwg.org/dwc/terms/lithostratigraphicTerms	https://tdwg.github.io    /mids/information-elements#StratigraphicContext	dwc
mids:GeographicalLocalityID	Geographical Locality ID	mids:MIDS3	owl:intersectionOf	dwc:geodeticDatum	Geodetic Datum	dwc:Occurrence	semapv:HumanCuration	orcid:0000-0002-3973-1257|orcid:0000-0002-5669-2769	Mathias Dillen|Sam Leeflang			https://orcid.org/0000-0002-3973-1277	Mathias Dillen	rdf property	rdf property	2023-09			|unknown:undigitized	http://rs.tdwg.org/dwc/terms	http://rs.tdwg.org/dwc/terms/geodeticDatum	https://tdwg.github.io    /mids/information-elements#GeographicalLocalityID	dwc
mids:GeographicalLocalityID	Geographical Locality ID	mids:MIDS3	owl:intersectionOf	dwc:coordinateUncertaintyInMeters	Coordinate Uncertainty In Meters	dwc:Occurrence	semapv:HumanCuration	orcid:0000-0002-3973-1257	Mathias Dillen			https://orcid.org/0000-0002-3973-1278	Mathias Dillen	rdf property	rdf property	2023-09			|unknown:undigitized	http://rs.tdwg.org/dwc/terms	http://rs.tdwg.org/dwc/terms/coordinateUncertaintyInMeters	https://tdwg.github.io    /mids/information-elements#GeographicalLocalityID	dwc
mids:GeographicalLocalityID	Geographical Locality ID	mids:MIDS3	owl:intersectionOf	dwc:coordinatePrecision	Coordinate Precision	dwc:Occurrence	semapv:HumanCuration	orcid:0000-0002-3973-1257	Mathias Dillen			https://orcid.org/0000-0002-3973-1279	Mathias Dillen	rdf property	rdf property	2023-09			|unknown:undigitized	http://rs.tdwg.org/dwc/terms	http://rs.tdwg.org/dwc/terms/coordinatePrecision	https://tdwg.github.io    /mids/information-elements#GeographicalLocalityID	dwc
mids:GeographicalLocalityID	Geographical Locality ID	mids:MIDS3	owl:intersectionOf	dwc:footprintSRS	Footprint SRS	dwc:Occurrence	semapv:HumanCuration	orcid:0000-0002-3973-1257	Mathias Dillen			https://orcid.org/0000-0002-3973-1281	Mathias Dillen	rdf property	rdf property	2023-09			|unknown:undigitized	http://rs.tdwg.org/dwc/terms	http://rs.tdwg.org/dwc/terms/footprintSRS	https://tdwg.github.io    /mids/information-elements#GeographicalLocalityID	dwc
mids:GeographicalLocalityID	Geographical Locality ID	mids:MIDS3	skos:narrowMatch	dwc:locationID	Location ID	dwc:Occurrence	semapv:HumanCuration	orcid:0000-0002-3973-1257	Mathias Dillen			https://orcid.org/0000-0002-3973-1274	Mathias Dillen	rdf property	rdf property	2023-09			|unknown:undigitized	http://rs.tdwg.org/dwc/terms	http://rs.tdwg.org/dwc/terms/locationID	https://tdwg.github.io    /mids/information-elements#GeographicalLocalityID	dwc
mids:GeographicalLocalityID	Geographical Locality ID	mids:MIDS3	owl:intersectionOf	dwc:decimalLatitude	Decimal Latitude	dwc:Occurrence	semapv:HumanCuration	orcid:0000-0002-3973-1257	Mathias Dillen			https://orcid.org/0000-0002-3973-1275	Mathias Dillen	rdf property	rdf property	2023-09			|unknown:undigitized	http://rs.tdwg.org/dwc/terms	http://rs.tdwg.org/dwc/terms/decimalLatitude	https://tdwg.github.io    /mids/information-elements#GeographicalLocalityID	dwc
mids:GeographicalLocalityID	Geographical Locality ID	mids:MIDS3	owl:intersectionOf	dwc:decimalLongitude	Decimal Longitude	dwc:Occurrence	semapv:HumanCuration	orcid:0000-0002-3973-1257	Mathias Dillen			https://orcid.org/0000-0002-3973-1276	Mathias Dillen	rdf property	rdf property	2023-09	dwc:decimalLatitude|dwc:decimalLongitude|dwc:coordinatePrecision|dwc:coordinateUncertaintyInMeters|dwc:geodeticDatum	All properties in object_match_field need to be present	|unknown:undigitized	http://rs.tdwg.org/dwc/terms	http://rs.tdwg.org/dwc/terms/decimalLongitude	https://tdwg.github.io    /mids/information-elements#GeographicalLocalityID	dwc
mids:GeographicalLocalityID	Geographical Locality ID	mids:MIDS3	owl:intersectionOf	dwc:footprintWKT	Footprint WKT	dwc:Occurrence	semapv:HumanCuration	orcid:0000-0002-3973-1257	Mathias Dillen			https://orcid.org/0000-0002-3973-1280	Mathias Dillen	rdf property	rdf property	2023-09	dwc:footprintWKT|dwc:footprintSRS	All properties in object_match_field need to be present	|unknown:undigitized	http://rs.tdwg.org/dwc/terms	http://rs.tdwg.org/dwc/terms/footprintWKT	https://tdwg.github.io    /mids/information-elements#GeographicalLocalityID	dwc
mids:OrganizationID	Organization ID	mids:MIDS3	skos:exactMatch	dwc:institutionID	Institution ID	dwc:Occurrence	semapv:HumanCuration	orcid:0000-0002-3973-1257	Mathias Dillen			https://orcid.org/0000-0002-3973-1280	Mathias Dillen	rdf property	rdf property	2023-12-07			|unknown:undigitized	http://rs.tdwg.org/dwc/terms	http://rs.tdwg.org/dwc/terms/institutionID	https://tdwg.github.io    /mids/information-elements#OrganizationID	dwc
mids:IdentifiedAsID	Identified As ID	mids:MIDS3	skos:exactMatch	dwc:scientificNameID	Scientific Name ID	dwc:Occurrence	semapv:HumanCuration	orcid:0000-0002-3973-1257	Mathias Dillen			https://orcid.org/0000-0002-3973-1260	Mathias Dillen	rdf property	rdf property	2023-12-07			|unknown:undigitized	http://rs.tdwg.org/dwc/terms	http://rs.tdwg.org/dwc/terms/scientificNameID	https://tdwg.github.io    /mids/information-elements#IdentifiedAsID	dwc
mids:IdentifiedByID	Identified By ID	mids:MIDS3	skos:exactMatch	dwc:identifiedByID	Identified By ID	dwc:Occurrence	semapv:HumanCuration	orcid:0000-0002-3973-1257	Mathias Dillen			https://orcid.org/0000-0002-3973-1260	Mathias Dillen	rdf property	rdf property	2023-12-07			|unknown:undigitized	http://rs.tdwg.org/dwc/terms	http://rs.tdwg.org/dwc/terms/identifiedByID	https://tdwg.github.io    /mids/information-elements#IdentifiedByID	dwc
mids:MediaID	Media ID	mids:MIDS3	skos:narrowMatch	dcterms:identifier	Identifier	gbif:Multimedia	semapv:HumanCuration	orcid:0000-0002-3973-1252	Mathias Dillen			orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	rdf property	2023-12-07			|unknown:undigitized	http://rs.tdwg.org/dwc/terms	dcterms:identifier	https://tdwg.github.io    /mids/information-elements#MediaID	dwc
mids:MediaID	Media ID	mids:MIDS3	skos:narrowMatch	dcterms:identifier	Identifier	ac:Multimedia	semapv:HumanCuration	orcid:0000-0002-3973-1252	Mathias Dillen			orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	rdf property	2023-12-07			|unknown:undigitized	http://rs.tdwg.org/dwc/terms	dcterms:identifier	https://tdwg.github.io    /mids/information-elements#MediaID	dwc
